,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
24577,Haiterbach,48.5244,8.6503,Germany,280.64,79.0,100.0,0.89
22737,Keystone Heights,29.7812,-82.034,United States,292.08,13.0,1.0,4.12
19366,Sorsk,54.0,90.25,Russia,259.23,90.0,100.0,1.95
14828,Prairie Village,38.9874,-94.6361,United States,274.02,64.0,40.0,10.8
21748,Edson,53.5817,-116.4344,Canada,268.15,80.0,90.0,4.63
13072,Artëmovskiy,57.3667,61.8667,Russia,267.4,98.0,98.0,2.33
16182,Nguigmi,14.2532,13.1108,Niger,294.44,24.0,0.0,6.42
8105,Teabo,20.3997,-89.2844,Mexico,302.71,32.0,0.0,2.54
18624,Bad Windsheim,49.5,10.4167,Germany,276.47,100.0,1.0,1.63
4669,Şırnak,37.5164,42.4611,Turkey,278.14,68.0,100.0,2.52
18052,Talanga,14.4,-87.0833,Honduras,298.44,50.0,20.0,4.12
4405,Pushkino,56.0167,37.85,Russia,266.15,86.0,90.0,5.0
127,Saint Petersburg,59.95,30.3167,Russia,259.46,85.0,20.0,3.0
24765,Jászfényszaru,47.5667,19.7167,Hungary,278.57,81.0,0.0,2.06
12378,Oak Creek,42.8803,-87.9009,United States,273.24,86.0,90.0,6.17
16887,Horodok,49.7822,23.6436,Ukraine,274.17,85.0,98.0,9.83
11090,Sakaidechō,34.3164,133.8606,Japan,270.93,92.0,26.0,0.89
7544,Royston,53.61,-1.45,United Kingdom,280.74,98.0,100.0,1.34
14988,San Jacinto,9.8311,-75.1219,Colombia,288.89,55.0,0.0,1.27
3571,Santa Maria,34.9334,-120.4432,United States,300.15,65.0,75.0,3.6
9488,South Fulton,33.6269,-84.5802,United States,280.8,81.0,90.0,5.66
20375,Buckie,57.676,-2.965,United Kingdom,275.55,81.0,75.0,10.29
5757,Caerphilly,51.578,-3.218,United Kingdom,280.93,89.0,51.0,0.89
6013,Richmond West,25.6105,-80.4297,United States,294.88,40.0,1.0,4.12
23681,Berkley,41.8349,-71.0754,United States,272.95,69.0,40.0,2.06
17862,Oil City,41.4282,-79.7035,United States,274.95,47.0,1.0,4.63
17259,Skalica,48.85,17.2333,Slovakia,276.11,89.0,24.0,1.07
130,Weinan,34.4996,109.4684,China,277.54,41.0,86.0,4.0
13241,Maryville,35.7468,-83.9789,United States,275.73,64.0,90.0,0.64
17230,Markgröningen,48.9047,9.0808,Germany,280.21,83.0,100.0,1.75
2037,Çorum,40.5489,34.9533,Turkey,279.35,71.0,0.0,2.75
5282,Temascalcingo,19.9147,-100.0036,Mexico,299.26,35.0,0.0,4.92
2332,Jessore,23.1704,89.2,Bangladesh,289.26,44.0,0.0,1.8
11685,Přerov,49.4556,17.4511,Czechia,276.09,86.0,48.0,0.89
22210,Nejdek,50.3225,12.7294,Czechia,272.79,100.0,0.0,1.54
7049,Clayton,53.782,-1.8135,United Kingdom,285.12,28.0,90.0,3.09
6724,Kanmaki,34.5628,135.7167,Japan,274.24,80.0,20.0,2.06
11342,Otradnyy,53.3667,51.35,Russia,274.3,97.0,100.0,4.61
7322,Nakhon Nayok,14.2031,101.215,Thailand,296.32,84.0,11.0,1.31
25425,Ledeč nad Sázavou,49.6952,15.2778,Czechia,275.61,75.0,0.0,0.51
21809,Ransbach-Baumbach,50.4661,7.7253,Germany,276.68,92.0,99.0,1.48
15636,Rio Rico,31.4957,-110.9886,United States,294.23,19.0,1.0,6.17
13088,Ross Township,40.5256,-80.0243,United States,275.52,38.0,90.0,4.12
21289,Neya,58.2833,43.8667,Russia,260.14,96.0,96.0,1.28
22363,Gerolstein,50.2239,6.6614,Germany,277.43,87.0,75.0,2.57
1783,Chita,52.0333,113.5,Russia,263.15,62.0,21.0,4.0
21039,Fairview,33.1399,-96.6116,United States,278.17,45.0,1.0,5.14
14983,Woodlesford,53.7567,-1.453,United Kingdom,278.7,100.0,90.0,4.63
19434,Lansing,42.5667,-76.5316,United States,274.03,60.0,75.0,9.26
15817,Göd,47.6906,19.1344,Hungary,277.79,81.0,0.0,2.06
54,Jining,35.4,116.5667,China,278.35,61.0,100.0,3.93
3012,Tanauan,14.0833,121.15,Philippines,298.65,73.0,20.0,1.03
2244,Bergen,60.3925,5.3233,Norway,267.39,80.0,75.0,1.54
17175,Kérouané,9.2704,-9.02,Guinea,298.98,22.0,32.0,0.17
18095,Avenal,36.0311,-120.1162,United States,285.67,58.0,20.0,5.14
10137,Penafiel,41.2,-8.2833,Portugal,283.15,8.0,100.0,0.6
14368,Tayga,56.0667,85.6167,Russia,262.15,85.0,75.0,5.0
13922,Natchez,31.5437,-91.3867,United States,292.67,64.0,90.0,7.2
25847,Oak Park Heights,45.0324,-92.8099,United States,267.44,73.0,90.0,7.2
15509,Saco,43.539,-70.4624,United States,276.03,56.0,90.0,5.14
